項目,規則
目的,既存マシンは残置。本シートは追加候補。層で線引きし、図面対象のみ配置図に落とす。
層の書き方,空欄→あなたが記入。値は次のいずれか1つ: コア / 推奨 / 候補 / 代替 / 見送り
層の意味:コア,今回必ず入れる。図面対象=YES
層の意味:推奨,予算・面積が許せば入れる。図面対象=YES（仮置き可）
層の意味:候補,比較検討中。図面対象=NO（別案シート扱い）
層の意味:代替,高い本命の下位互換。本命見送り時のみYES
層の意味:見送り,今回入れない。図面対象=NO
図面対象,層がコアまたは推奨なら YES。それ以外は NO。確定したら手でYES/NOを入れる
ゾーン候補,配置ゾーンの仮ラベル。あなたが変更してよい（Glute/背中/脚/腕/肩/FW/HYROX/有酸素/初心者/胸/その他）
寸法の単位,幅_mm/奥行_mm/高さ_mm が正。図面幅_cm=幅_mm÷10、図面奥行_cm=奥行_mm÷10（四捨五入済）
配置アプリ尺度,1px=1cm。place幅=図面幅_cm、place奥行=図面奥行_cm
クリアランス,仕様の80cm区画は残す。横並び有酸素は側面40cm前後で仮置き可。通路・退避は80cm以上
切取,配置アプリでダブルクリック切取＝見た目の80cm余白カット。寸法マスタ自体は区画込みでも本体でも可
旧幅/旧奥行/旧高さ,整理前の値。監査用。図面には使わない
寸法信頼度,高=公式一致、中=推定/要確認、低=構成可変や備品目安
状態列,採用中=台数≥1、候補(台数0)=代替・比較、重複候補=同用途の二重行
重複の扱い,Assist Dip Chin(HS)とAssist Dip & Chin(Matrix)はどちらか一方。層で線引き
HYROX注意,Sled/Wall Ball等は器具寸法だけでなく人工芝レーン長さが本体。ゾーン=HYROXでまとめる
ラック注意,Half Half Comboは構成で奥行が変わる。見積確定後に幅_mm/奥行_mmを更新してから図面確定
図面起こし手順1,層を全部埋める
図面起こし手順2,図面対象=YESだけを抽出
図面起こし手順3,ゾーンごとに並べ、図面幅_cm×図面奥行_cmで配置
図面起こし手順4,既存マシンシートと重ね、動線（通路）を確認
更新日,2026-09-12
